item,price,weight
256,807,834
257,883,798
258,358,310
259,634,609
260,786,690
261,618,561
262,644,579
263,141,60
264,466,388
265,340,309
266,495,407
267,283,200
268,352,313
269,886,970
270,95,33
271,291,273
272,217,277
273,1007,997
274,1,40
275,219,227
276,764,860
277,1025,940
278,600,608
279,895,990
280,690,590
281,738,806
282,1,52
283,772,801
284,727,764
285,774,710
286,340,386
287,503,593
288,1,50
289,432,494
290,228,156
291,993,936
292,1058,965
293,130,86
294,821,723
295,189,184
296,943,868
297,343,340
298,404,412
299,560,487
300,196,209
301,418,346
302,782,860
303,314,307
304,59,95
305,778,821
306,979,941
307,828,821
308,584,587
309,122,201
310,741,665
311,566,527
312,760,812
313,385,424
314,395,459
315,250,343
316,789,836
317,492,506
318,261,179
319,914,916
320,380,430
321,537,596
322,731,808
323,361,269
324,473,512
325,737,811
326,708,685
327,635,567
328,804,776
329,827,855
330,695,718
331,756,853
332,57,97
333,178,146
334,688,746
335,1,15
336,871,965
337,415,512
338,510,480
339,1057,958
340,764,665
341,193,191
342,905,964
343,583,515
344,696,606
345,887,822
346,444,536
347,741,693
348,12,19
349,313,335
350,81,101
351,828,922
352,354,294
353,981,910
354,499,410
355,283,250
356,545,546
357,635,729
358,540,609
359,689,720
360,946,976
361,730,759
362,703,798
363,14,74
364,644,648
365,241,299
366,793,785
367,912,846
368,461,390
369,801,897
370,424,416
371,744,837
372,272,247
373,338,293
374,193,144
375,987,938
376,432,467
377,505,480
378,944,955
379,653,665
380,38,26
381,468,564
382,461,449
383,1,26
384,576,521
385,329,301
386,274,321
387,701,613
388,432,388
389,851,879
390,915,990
391,137,188
392,927,963
393,903,820
394,373,300
395,770,822
396,160,255
397,285,277
398,231,153
399,366,400
400,317,227
401,423,518
402,420,447
403,216,315
404,772,813
405,271,324
406,566,502
407,243,299
408,725,780
409,390,376
410,491,516
411,225,212
412,392,329
413,781,810
414,434,486
415,535,485
416,368,416
417,938,952
418,946,894
419,353,358
420,1,21
421,707,647
422,143,44
423,630,683
424,364,361
425,822,814
426,147,231
427,54,8
428,91,165
429,431,496
430,606,699
431,917,852
432,553,459
433,473,535
434,222,314
435,954,944
436,369,306
437,413,459
438,717,637
439,491,447
440,447,408
441,44,107
442,994,962
443,518,565
444,448,407
445,931,857
446,369,317
447,181,98
448,815,818
449,655,600
450,267,288
451,960,902
452,611,567
453,271,190
454,771,749
455,993,908
456,359,276
457,810,748
458,563,592
459,360,393
460,264,363
461,199,163
462,1074,983
463,131,179
464,41,16
465,423,478
466,197,259
467,779,868
468,344,295
469,536,596
470,140,71
471,669,622
472,938,864
473,715,644
474,67,5
475,321,365
476,434,429
477,19,64
478,928,854
479,759,770
480,178,88
481,160,157
482,277,368
483,467,421
484,653,719
485,330,271
486,966,975
487,817,816
488,1045,962
489,508,535
490,492,438
491,743,696
492,884,881
493,259,318
494,56,45
495,1,52
496,421,496
497,270,313
498,99,138
499,429,334
500,1004,988
